market,year,path,rows,first_ts,last_ts,duplicate_ts,gap_count_gt_1min,zero_volume,zero_range,stale_close_run_max,close_min,close_max,volume_sum
SI,2017,/workspaces/quant_project/data/raw/SI/2017.parquet,318558,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,19777,0,96014,30,14.68,18.65,16433838.0
SI,2018,/workspaces/quant_project/data/raw/SI/2018.parquet,316273,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,22890,0,116238,24,13.865,17.7,17528067.0
SI,2019,/workspaces/quant_project/data/raw/SI/2019.parquet,314874,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,23894,0,117541,24,14.275,19.745,18096490.0
SI,2020,/workspaces/quant_project/data/raw/SI/2020.parquet,338754,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,9458,0,50391,18,11.675,29.89,19830588.0
SI,2021,/workspaces/quant_project/data/raw/SI/2021.parquet,332210,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,11123,0,59882,15,21.425,30.24,14430297.0
SI,2022,/workspaces/quant_project/data/raw/SI/2022.parquet,335981,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,11924,0,60771,17,17.415,27.47,12483777.0
SI,2023,/workspaces/quant_project/data/raw/SI/2023.parquet,328206,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,14710,0,68194,15,19.95,26.43,13568908.0
SI,2024,/workspaces/quant_project/data/raw/SI/2024.parquet,338461,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,9956,0,46707,12,21.985,35.065,16172381.0
SI,2025,/workspaces/quant_project/data/raw/SI/2025.parquet,341978,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,7503,0,30340,11,27.745,82.59,16217876.0
SI,2026,/workspaces/quant_project/data/raw/SI/2026.parquet,123784,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,3364,0,5954,4,61.305,121.695,6266911.0
YM,2010,/workspaces/quant_project/data/raw/YM/2010.parquet,163159,2010-06-07 00:00:00+00:00,2010-12-31 18:14:00+00:00,0,19039,0,68821,28,118.6875,136.9375,38996142.0
YM,2011,/workspaces/quant_project/data/raw/YM/2011.parquet,284719,2011-01-02 23:30:00+00:00,2011-12-30 21:59:00+00:00,0,31745,0,114698,44,116.84375,146.90625,76474456.0
YM,2012,/workspaces/quant_project/data/raw/YM/2012.parquet,287930,2012-01-03 11:00:00+00:00,2012-12-31 21:59:00+00:00,0,33258,0,122885,30,135.1875,153.34375,76818932.0
YM,2013,/workspaces/quant_project/data/raw/YM/2013.parquet,275591,2013-01-02 11:00:00+00:00,2013-12-31 21:59:00+00:00,0,33901,0,124947,52,127.71875,149.625,83257652.0
YM,2014,/workspaces/quant_project/data/raw/YM/2014.parquet,260656,2014-01-02 11:00:00+00:00,2014-12-31 21:59:00+00:00,0,37539,0,128981,33,127.875,147.78125,76367077.0
YM,2015,/workspaces/quant_project/data/raw/YM/2015.parquet,295145,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,28345,0,108405,35,143.78125,166.75,60467125.0
YM,2016,/workspaces/quant_project/data/raw/YM/2016.parquet,307116,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,25754,0,113872,27,147.15625,177.34375,57753224.0
YM,2017,/workspaces/quant_project/data/raw/YM/2017.parquet,289287,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,32660,0,137366,65,145.8125,158.25,58668782.0
YM,2018,/workspaces/quant_project/data/raw/YM/2018.parquet,291093,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,30384,0,142776,102,136.53125,152.90625,74530852.0
YM,2019,/workspaces/quant_project/data/raw/YM/2019.parquet,302595,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,28069,0,147352,98,143.53125,167.53125,67681033.0
YM,2020,/workspaces/quant_project/data/raw/YM/2020.parquet,317482,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,22505,0,130985,55,155.1875,191.46875,71019055.0
YM,2021,/workspaces/quant_project/data/raw/YM/2021.parquet,320258,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,21798,0,139673,61,153.25,173.3125,87686329.0
YM,2022,/workspaces/quant_project/data/raw/YM/2022.parquet,326216,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,19089,0,119805,30,117.625,160.25,74555362.0
YM,2023,/workspaces/quant_project/data/raw/YM/2023.parquet,312037,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,26604,0,134732,32,107.15625,134.4375,86163431.0
YM,2024,/workspaces/quant_project/data/raw/YM/2024.parquet,305812,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,30588,0,141072,31,112.875,127.59375,102569142.0
YM,2025,/workspaces/quant_project/data/raw/YM/2025.parquet,294375,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,32262,0,133523,67,110.0625,122.0,97460665.0
